Original Name,Test Case Name,Test Type,Label
JAM'YAH TA'AWUN AL-ISLAMIA,JAM'YAH TA'AWUN AL-ISLAMIA,Fuzzy Match,Match
"GLOBOVISION TELE CA, CORP.","GLOBOVISION TELE CA, CORP.",Fuzzy Match,Match
KOREAN PEOPLE'S ARMY,KOREAN PEOPLE'S ARMY,Fuzzy Match,Match
RANCHO LA HERRADURA,RANCHO LA HERRADURA,Fuzzy Match,Match
"TECHNO ENERGY, S.A.","TECHNO ENERGY, S.A.",Fuzzy Match,Match
BAHMAN GROUP,BAHMAN GROUP,Fuzzy Match,Match
"RR TOUR, S.A. DE C.V.","RR TOUR, S.A. DE C.V.",Fuzzy Match,Match
HARAKAT UL-JIHAD-I-ISLAMI/BANGLADESH,HARAKAT UL-JIHAD-I-ISLAMI/BANGLADESH,Fuzzy Match,Match
FOURTH OCEAN GMBH & CO KG,FOURTH OCEAN GMBH & CO KG,Fuzzy Match,Match
QUANTLOG OY,QUANTLOG OY,Fuzzy Match,Match
"ZARIFAH, Ahmad","ZARIFAH, Ahmad",Fuzzy Match,Match
"KRNOJELAC, Milorad","KRNOJELAC, Milorad",Fuzzy Match,Match
"TREVINO MORALES, Omar","TREVINO MORALES, Omar",Fuzzy Match,Match
"AL-AJMI, Shafi Sultan Mohammed","AL-AJMI, Shafi Sultan Mohammed",Fuzzy Match,Match
"HEJEIJ, Kassem","HEJEIJ, Kassem",Fuzzy Match,Match
"ZAMBADA GARCIA, Ismael","ZAMBADA GARCIA, Ismael",Fuzzy Match,Match
"MITSUYASU, Katsuaki","MITSUYASU, Katsuaki",Fuzzy Match,Match
"AL-GHANDOUR, Abu Anas","AL-GHANDOUR, Abu Anas",Fuzzy Match,Match
"SIMIGIN, Pavel Vladimirovich","SIMIGIN, Pavel Vladimirovich",Fuzzy Match,Match
"GONZALEZ PARADA, Juvencio Ignacio","GONZALEZ PARADA, Juvencio Ignacio",Fuzzy Match,Match
CHERNOMORNEFTEGAZ,AN CHERNOMORNEFTEGAZ AN A,Fuzzy Match,Match
CASTLE HOLDING GMBH,OF CASTLE HOLDING GMBH A A,Fuzzy Match,Match
MOBILNYE PLATEZHI LIMITED LIABILITY COMPANY,OR MOBILNYE PLATEZHI LIMITED LIABILITY COMPANY OF A,Fuzzy Match,Match
VISCAYA LTDA.,OF VISCAYA LTDA. AN OR,Fuzzy Match,Match
CONSULTORIA EN CAMBIOS FALCON S.A. DE C.V.,A CONSULTORIA EN CAMBIOS FALCON S.A. DE C.V. OF OF,Fuzzy Match,Match
"GRANATURA, S. DE P.R. DE R.L. DE C.V.","A GRANATURA, S. DE P.R. DE R.L. DE C.V. OR A",Fuzzy Match,Match
BONYAD TAAVON BASIJ,AN BONYAD TAAVON BASIJ OF OR,Fuzzy Match,Match
